,Symbol,Time,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4
43,EURUSD,22-03-2015 00:00,Buy,1.09456,1.09447,1.10292,1.08904,1.09235,1.09233,1.10144,1.09007,1.0969799999999998,1.09691,1.10522,1.08564,1.08837,1.08837,1.09485,1.08011,1.08874
267,EURUSD,22-03-2015 00:00,Buy,1.09456,1.09447,1.10292,1.08904,1.09235,1.09233,1.10144,1.09007,1.0969799999999998,1.09691,1.10522,1.08564,1.08837,1.08837,1.09485,1.08011,1.08874
268,EURUSD,26-03-2015 21:00,Sell,1.08874,1.08861,1.0895,1.0809799999999998,1.0832700000000002,1.08328,1.08455,1.0713,1.07308,1.07308,1.07999,1.07184,1.07624,1.07624,1.0905,1.07502,1.08795
44,EURUSD,26-03-2015 21:00,Sell,1.08874,1.08861,1.0895,1.0809799999999998,1.0832700000000002,1.08328,1.08455,1.0713,1.07308,1.07308,1.07999,1.07184,1.07624,1.07624,1.0905,1.07502,1.08795
118,EURUSD,26-03-2015 21:00,Sell,1.08874,1.08861,1.0895,1.0809799999999998,1.0832700000000002,1.08328,1.08455,1.0713,1.07308,1.07308,1.07999,1.07184,1.0762399999999999,1.0762399999999999,1.0905,1.07502,1.08795
342,EURUSD,26-03-2015 21:00,Sell,1.08874,1.08861,1.0895,1.0809799999999998,1.0832700000000002,1.08328,1.08455,1.0713,1.07308,1.07308,1.07999,1.07184,1.0762399999999999,1.0762399999999999,1.0905,1.07502,1.08795
45,EURUSD,02-04-2015 00:00,Buy,1.09713,1.10004,1.10356,1.091,1.09217,1.09216,1.0954700000000002,1.0803200000000002,1.08141,1.08143,1.08873,1.07629,1.07805,1.078,1.07886,1.06377,1.06587
269,EURUSD,02-04-2015 00:00,Buy,1.09713,1.10004,1.10356,1.091,1.09217,1.09216,1.0954700000000002,1.0803200000000002,1.08141,1.08143,1.08873,1.07629,1.07805,1.078,1.07886,1.06377,1.06587
270,EURUSD,07-04-2015 21:00,Sell,1.07805,1.078,1.07886,1.06377,1.06587,1.06588,1.06837,1.05679,1.0602200000000002,1.05853,1.0619,1.05203,1.05669,1.05669,1.07074,1.05315,1.06541
46,EURUSD,07-04-2015 21:00,Sell,1.07805,1.078,1.07886,1.06377,1.06587,1.06588,1.06837,1.05679,1.0602200000000002,1.05853,1.0619,1.05203,1.05669,1.05669,1.07074,1.05315,1.06541
198,EURJPY,27-04-2015 00:00,Buy,130.512,130.512,132.895,130.261,132.41899999999998,132.418,134.516,131.311,133.971,133.971,135.286,133.898,134.556,134.55700000000002,134.725,133.697,133.866
47,EURUSD,21-05-2015 21:00,Sell,1.10074,1.10016,1.10095,1.0959,1.09766,1.09766,1.0981,1.08633,1.08719,1.08719,1.0929,1.08192,1.09038,1.09036,1.09584,1.08671,1.09474
