Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2010-10-20,11.45,11.45,11.25,11.25,80000,-160000.0,-410460,42.9516368103074,35.544321557867086,19.330772119189316,0.03242879078904437,11.376463293646761,-11.344034502857717,59.93378045437024
2010-10-21,12.2,12.2,11.95,11.95,1100,-2200.0,-409360,49.39651280444287,29.18026853032018,19.787717874330973,0.07620055795323921,11.491170634917431,-11.414970076964192,62.81279289569732
2010-10-28,11.35,11.35,11.35,11.35,1000,,-410360,44.034047497153956,36.868429728685534,19.006959848340184,0.06176474749714522,11.46293650793394,-11.401171760436794,58.75371533554499
2010-10-29,11.35,11.35,11.35,11.35,1000,,-410360,44.034047497153956,36.868429728685534,18.28197025277731,0.04975076891533625,11.440349206347149,-11.390598437431812,60.53724125379854
2010-11-01,11.4,11.4,11.35,11.35,6050,-12100.0,-410360,44.615142801348725,36.485624283048125,17.692113264136292,0.039771148239651666,11.422279365077717,-11.382508216838065,62.293140669354194
2010-11-02,11.4,11.4,11.4,11.4,796,,-409564,44.12178587201735,36.08216405786917,17.14438891754106,0.035487615566809794,11.417823492062174,-11.382335876495365,60.86103313190208
2010-11-04,11.3,11.5,11.3,11.5,8000,16000.0,-401564,42.115620087977526,36.71499171212536,16.409141701848217,0.03970415068600097,11.43425879364974,-11.394554642963739,59.7723866433877
2010-11-05,12.0,12.0,12.0,12.0,1,,-401563,48.42876761663055,32.71067898485403,16.620752872803756,0.08244029560041177,11.547407034919797,-11.464966739319385,61.38041486351781
2010-11-08,11.35,12.6,11.35,12.2,103,74.15999999999988,-401460,37.436163643759706,37.08906557737718,15.46682379055311,0.13093758065799754,11.677925627935842,-11.546988047277845,60.932755536342995
2010-11-09,12.6,12.6,11.45,11.45,5008,-10016.0,-406468,30.562884071025902,30.279513208961227,14.395318214177511,0.10761404311131884,11.63234050234867,-11.524726459237352,55.64918445942612
2010-11-10,12.45,12.45,12.45,12.45,5,,-406463,26.079034586343774,25.83723677382802,13.40034875040017,0.16788477586244355,11.79587240187894,-11.627987626016496,60.03878627128169
2010-11-11,11.4,11.4,11.4,11.4,20,,-406483,22.36827244016466,36.38978899828159,14.147690751029426,0.12943302514478994,11.71669792150315,-11.58726489635836,53.94390466808123
2010-11-12,12.05,12.05,12.05,12.05,5,,-406478,29.09434038042405,33.23695186805678,13.611864155048579,0.14968297999110547,11.78335833720252,-11.633675357211414,55.723291005668635
2010-11-15,11.4,11.4,11.4,11.4,8,,-406486,26.611357569993423,38.93467516117898,13.98251758473653,0.11199148076054932,11.706686669762012,-11.594695189001463,53.37215827489561
